10,2,531529
11,2,536380
12,2,490899
13,2,584199
14,2,482905
15,2,586885
16,2,657046
18,2,571129
20,2,666607
22,2,509200
24,2,696856
27,2,795415
30,3,719979
33,3,741246
37,3,584902
41,3,829587
46,3,879603
51,3,876640
57,3,1003383
64,3,1174472
72,4,801602
81,4,1004537
91,4,1141382
102,4,1118650
114,4,1346733
128,5,983807
144,5,1180357
162,5,1183731
182,5,1411047
204,5,1326293
229,6,1217330
257,6,1338575
289,6,2543920
325,6,2259015
365,7,1814445
410,7,1749964
461,7,1928476
518,8,1562038
582,8,1820880
654,8,1987042
735,9,2050728
826,9,2222659
929,9,2201301
1045,10,2418159
1175,10,2581233
1321,10,2674929
1486,11,2742999
1671,11,3274264
1879,12,2621045
2113,12,3449492
2377,13,3061807
2674,13,3392953
3008,14,3801279
3384,15,3552918
3807,14,4411830
4282,16,4008919
4817,16,4407296
5419,17,4109303
6096,18,4314760
6858,18,5014424
7715,19,5148729
8679,20,4988660
9763,21,5525989
10983,22,5291434
12355,23,5670506
13899,24,5446264
15636,25,6157220
17590,26,6547863
19788,26,6873767
